"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"11","@ajobst @gecko_gordan @Hipster_Trader @elonmusk '@elonmusk is operating in the time before the settlement takes eff… https://t.co/HzmpVvmtLo",FALSE,0,"ajobst",2018-10-05 23:58:02,TRUE,"1047950126570856449","1048361702088237056","32333750","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RobertWCarswell",0,FALSE,FALSE,NA,NA
"12","@PlugInFUD @elonmusk Dude. This isn't for his latest public fiasco. This is more serious IMO",FALSE,5,"PlugInFUD",2018-10-05 23:57:47,FALSE,"1048329191337287680","1048361639274266630","1019985498662670337","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","4xRevenue",0,FALSE,FALSE,NA,NA
"13","RT @tommyp408: The SEC can't even stop Bitconnect and not one single Wall Street banker went to jail during ""The Financial Crisis of 2008"",…",FALSE,0,NA,2018-10-05 23:57:44,FALSE,NA,"1048361627161190400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TruthRaiderHQ",1259,TRUE,FALSE,NA,NA
"14","@MoveOn Translation: our bribe didn’t work",FALSE,0,"MoveOn",2018-10-05 23:57:43,FALSE,"1048301380971241472","1048361623063130112","26657119","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Crypto_ElonMusk",0,FALSE,FALSE,NA,NA
"15","@elonmusk I offer a Twitter rehab program.  contact me.",FALSE,0,"elonmusk",2018-10-05 23:57:40,FALSE,NA,"1048361612841644033","44196397","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Herm_Itic",0,FALSE,FALSE,NA,NA
"16","Like, let’s use some @elonmusk first principles thinking. And TRUELY look at @WWE for what it is.... @joerogan why… https://t.co/AJ2pBda5mu",FALSE,0,NA,2018-10-05 23:57:31,TRUE,NA,"1048361573096378368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JossBiggins",0,FALSE,FALSE,NA,NA
"17","@DMC_Ryan @Tesla @elonmusk Was just talking about this... also, interested in ways to copy each “completed” file au… https://t.co/xNdfqy9MuT",FALSE,1,"DMC_Ryan",2018-10-05 23:57:20,TRUE,"1048315225055752193","1048361527244464128","308795969","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KevinHuzevka",0,FALSE,FALSE,NA,NA
"18","@Tesla @elonmusk Why is @Tesla a couple hundred years ahead of the auto industry in regards to aesthetics as digita… https://t.co/Z5BJvqX0RB",FALSE,1,"Tesla",2018-10-05 23:57:14,TRUE,"1048314903029669889","1048361502254592000","13298072","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realCoreyEngel",0,FALSE,FALSE,NA,NA
"19","@elonmusk why did Superman deliver a lead lined box containing kryptonite to Lex  Luther?",FALSE,0,"elonmusk",2018-10-05 23:57:13,FALSE,NA,"1048361496793833477","44196397","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Herm_Itic",0,FALSE,FALSE,NA,NA
"20","@The_EzraG @RogerStrandahl @jchervinsky @C3_Nik @elonmusk @nic__carter And those businesses are bad for the environ… https://t.co/n30YYH9FNt",FALSE,0,"The_EzraG",2018-10-05 23:56:56,TRUE,"1048357734326915072","1048361426467917824","127558008","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","galgitron",0,FALSE,FALSE,NA,NA
"21","@politico Starting his groping tour already? https://t.co/mqhiuYMDZW",FALSE,0,"politico",2018-10-05 23:56:50,FALSE,"1048360954621317122","1048361402279243777","9300262","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Crypto_ElonMusk",0,FALSE,FALSE,NA,NA
"22","RT @HyperChangeTV: dear @elonmusk ""cease to acknowledge all short sellers, that is the best way to defeat them"" $TSLA
https://t.co/0HskocSG…",FALSE,0,NA,2018-10-05 23:56:33,FALSE,NA,"1048361330917462016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JackSeroy",48,TRUE,FALSE,NA,NA
"23","@elonmusk - Stoopid Comments By CEO's Should Be Made Illegal - Elon Musk: Short-Selling Stocks Should Be Illegal… https://t.co/8X8j4Vv0Di",FALSE,0,"elonmusk",2018-10-05 23:56:26,TRUE,NA,"1048361300051546115","44196397","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","401nalu22",0,FALSE,FALSE,NA,NA
"24","@elonmusk We are heading toward our alpha phase as well.  We aren’t aiming at mars but definitley to fund the tech to maybe use on mars..",FALSE,0,"elonmusk",2018-10-05 23:56:22,FALSE,"1043250540379926528","1048361285061029888","44196397","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realCoreyEngel",0,FALSE,FALSE,NA,NA
"25","@ojspraytan @elonmusk @ValueAnalyst1 @ElectrekCo @Gfilche @TeslaPodcast You still didnt make the connection or repr… https://t.co/CJAI9spbIV",FALSE,0,"ojspraytan",2018-10-05 23:56:19,TRUE,"1048348343079002112","1048361272553570304","823706912348917769","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1BANARDNARD1",0,FALSE,FALSE,NA,NA
"26","@elonmusk What about @tesla shareholders ?",FALSE,0,"elonmusk",2018-10-05 23:56:13,FALSE,"1048114562694696966","1048361247308013568","44196397","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vyer",0,FALSE,FALSE,NA,NA
