"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"39",".@stanhamstra presenting that there’s always complexity in evaluation data. A number of residents haven’t hit any o… https://t.co/0mYngnI5uR",FALSE,9,NA,2018-10-18 16:58:59,TRUE,NA,"1052967287777443840",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","epetersmtl",3,FALSE,FALSE,NA,NA
"40","RT @RB_Cavalcanti: Do raters do straight line assessments (halo effect)? Data from @stanhamstra at ACGME allows for analyses of how frequen…",FALSE,0,NA,2018-10-18 16:52:20,FALSE,NA,"1052965613423869952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","drjfrank",5,TRUE,FALSE,NA,NA
"41","RT @drjfrank: #ICRE2018 #meded #learninganalytics guru ⁦@stanhamstra⁩ sharing his early results from national ⁦@acgme⁩ data: incredible, th…",FALSE,0,NA,2018-10-18 16:48:13,FALSE,NA,"1052964577451761665",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OrthopodReg",3,TRUE,FALSE,NA,NA
"42","Do raters do straight line assessments (halo effect)? Data from @stanhamstra at ACGME allows for analyses of how fr… https://t.co/wNZDrtozxh",FALSE,4,NA,2018-10-18 16:45:43,TRUE,NA,"1052963951594463232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RB_Cavalcanti",5,FALSE,FALSE,NA,NA
"43","#ICRE2018 #meded #learninganalytics guru ⁦@stanhamstra⁩ sharing his early results from national ⁦@acgme⁩ data: incr… https://t.co/K8pPT8uQ8J",FALSE,7,NA,2018-10-18 16:41:41,TRUE,NA,"1052962936279298048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","drjfrank",3,FALSE,FALSE,NA,NA
"44","RT @epetersmtl: .@mpusic #LearningAnalytics can also evaluate educators/education programs and not just learners. Learning curves (% of cor…",FALSE,0,NA,2018-10-18 16:33:13,FALSE,NA,"1052960805941993473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Midwest_MedPeds",6,TRUE,FALSE,NA,NA
"45","RT @epetersmtl: @drjfrank @OrthopodReg @sherbino @VatsalTrivediMD Our future robot overlords are ready to crunch all the data at #LearningA…",FALSE,0,NA,2018-10-18 16:26:15,FALSE,NA,"1052959050046922753",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","Brent_Thoma",6,TRUE,FALSE,NA,NA
"46","RT @epetersmtl: @drjfrank @OrthopodReg @sherbino @VatsalTrivediMD Our future robot overlords are ready to crunch all the data at #LearningA…",FALSE,0,NA,2018-10-18 16:22:06,FALSE,NA,"1052958005115871232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RB_Cavalcanti",6,TRUE,FALSE,NA,NA
"47","RT @epetersmtl: .@CincyIM presents how #LearningAnalytics can inform Internal Medicine evaluations by creating a standardized expected eval…",FALSE,0,NA,2018-10-18 16:21:54,FALSE,NA,"1052957957153931264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RB_Cavalcanti",1,TRUE,FALSE,NA,NA
"48","RT @epetersmtl: .@CincyIM presenting that when evaluating residents, system noise is incredibly important and only about 20% of the variati…",FALSE,0,NA,2018-10-18 16:21:49,FALSE,NA,"1052957936182411264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RB_Cavalcanti",5,TRUE,FALSE,NA,NA
